TeamId,Rank,Team,Season,MatchesPlayed,Wins,Draws,Losses,Points,GoalsScored,GoalsConceded,GoalDifference,TotalHS,PerGameHS,TotalAS,PerGameAS,TotalHST,PerGameHST,TotalAST,PerGameAST,TotalHC,PerGameHC,TotalAC,PerGameAC,TotalHF,PerGameHF,TotalAF,PerGameAF,TotalHY,PerGameHY,TotalAY,PerGameAY,TotalHR,PerGameHR,TotalAR,PerGameAR
26,1,Man United,2006/2007,38,28,5,5,89.0,83.0,27.0,56.0,544.0,14.31578947368421,435.0,11.447368421052632,291.0,7.657894736842105,227.0,5.973684210526316,221.0,5.815789473684211,192.0,5.052631578947368,477.0,12.552631578947368,475.0,12.5,57.0,1.5,77.0,2.026315789473684,0.0,0.0,3.0,0.07894736842105263
13,2,Chelsea,2006/2007,38,24,11,3,83.0,64.0,24.0,40.0,455.0,11.973684210526315,359.0,9.447368421052632,221.0,5.815789473684211,176.0,4.631578947368421,222.0,5.842105263157895,180.0,4.7368421052631575,481.0,12.657894736842104,447.0,11.763157894736842,59.0,1.5526315789473684,74.0,1.9473684210526316,2.0,0.05263157894736842,4.0,0.10526315789473684
1,3,Arsenal,2006/2007,38,19,11,8,68.0,63.0,35.0,28.0,499.0,13.131578947368421,363.0,9.552631578947368,268.0,7.052631578947368,171.0,4.5,269.0,7.078947368421052,176.0,4.631578947368421,445.0,11.710526315789474,433.0,11.394736842105264,68.0,1.7894736842105263,78.0,2.0526315789473686,0.0,0.0,7.0,0.18421052631578946
23,4,Liverpool,2006/2007,38,20,8,10,68.0,57.0,27.0,30.0,492.0,12.947368421052632,365.0,9.605263157894736,240.0,6.315789473684211,179.0,4.7105263157894735,206.0,5.421052631578948,202.0,5.315789473684211,429.0,11.289473684210526,480.0,12.631578947368421,39.0,1.0263157894736843,59.0,1.5526315789473684,2.0,0.05263157894736842,1.0,0.02631578947368421
39,5,Tottenham,2006/2007,38,17,9,12,60.0,57.0,54.0,3.0,473.0,12.447368421052632,358.0,9.421052631578947,250.0,6.578947368421052,182.0,4.7894736842105265,233.0,6.131578947368421,176.0,4.631578947368421,415.0,10.921052631578947,487.0,12.81578947368421,52.0,1.368421052631579,68.0,1.7894736842105263,4.0,0.10526315789473684,6.0,0.15789473684210525
16,6,Everton,2006/2007,38,15,13,10,58.0,52.0,36.0,16.0,479.0,12.605263157894736,414.0,10.894736842105264,247.0,6.5,203.0,5.342105263157895,231.0,6.078947368421052,228.0,6.0,521.0,13.710526315789474,536.0,14.105263157894736,66.0,1.736842105263158,67.0,1.763157894736842,1.0,0.02631578947368421,3.0,0.07894736842105263
6,7,Bolton,2006/2007,38,16,8,14,56.0,47.0,52.0,-5.0,442.0,11.631578947368421,337.0,8.868421052631579,225.0,5.921052631578948,168.0,4.421052631578948,230.0,6.052631578947368,177.0,4.657894736842105,475.0,12.5,523.0,13.763157894736842,48.0,1.263157894736842,86.0,2.263157894736842,3.0,0.07894736842105263,4.0,0.10526315789473684
33,8,Reading,2006/2007,38,16,7,15,55.0,52.0,47.0,5.0,488.0,12.842105263157896,355.0,9.342105263157896,250.0,6.578947368421052,177.0,4.657894736842105,266.0,7.0,215.0,5.657894736842105,410.0,10.789473684210526,416.0,10.947368421052632,39.0,1.0263157894736843,48.0,1.263157894736842,2.0,0.05263157894736842,5.0,0.13157894736842105
31,9,Portsmouth,2006/2007,38,14,12,12,54.0,45.0,42.0,3.0,540.0,14.210526315789474,340.0,8.947368421052632,290.0,7.631578947368421,175.0,4.605263157894737,301.0,7.921052631578948,199.0,5.2368421052631575,470.0,12.368421052631579,461.0,12.131578947368421,43.0,1.131578947368421,65.0,1.7105263157894737,1.0,0.02631578947368421,2.0,0.05263157894736842
4,10,Blackburn,2006/2007,38,15,7,16,52.0,52.0,54.0,-2.0,517.0,13.605263157894736,388.0,10.210526315789474,286.0,7.526315789473684,205.0,5.394736842105263,227.0,5.973684210526316,185.0,4.868421052631579,523.0,13.763157894736842,495.0,13.026315789473685,63.0,1.6578947368421053,79.0,2.0789473684210527,4.0,0.10526315789473684,7.0,0.18421052631578946
