TeamId,Team,Season,MatchesPlayed,Wins,Draws,Losses,Points,AvgB365H,AvgB365D,AvgB365A,AvgB365Overall,TotalHS,PerGameHS,TotalAS,PerGameAS,TotalHST,PerGameHST,TotalAST,PerGameAST,TotalHC,PerGameHC,TotalAC,PerGameAC,TotalHF,PerGameHF,TotalAF,PerGameAF,TotalHY,PerGameHY,TotalAY,PerGameAY,TotalHR,PerGameHR,TotalAR,PerGameAR
15,Chelsea,2005/06,38,29,4,5,91.0,4.139473684210526,4.556315789473683,7.066315789473684,5.254035087719298,413.0,10.868421052631579,364.0,9.578947368421053,219.0,5.7631578947368425,185.0,4.868421052631579,171.0,4.5,177.0,4.657894736842105,497.0,13.078947368421053,469.0,12.342105263157896,55.0,1.4473684210526316,69.0,1.8157894736842106,5.0,0.13157894736842105,7.0,0.18421052631578946
11,Man United,2005/06,38,25,8,5,83.0,3.0902631578947366,4.108421052631579,6.359473684210525,4.5193859649122805,532.0,14.0,400.0,10.526315789473685,272.0,7.157894736842105,209.0,5.5,226.0,5.947368421052632,170.0,4.473684210526316,541.0,14.236842105263158,513.0,13.5,60.0,1.5789473684210527,71.0,1.868421052631579,0.0,0.0,2.0,0.05263157894736842
3,Liverpool,2005/06,38,25,7,6,82.0,2.6894736842105265,3.576578947368421,4.636842105263159,3.6342982456140356,485.0,12.763157894736842,323.0,8.5,252.0,6.631578947368421,157.0,4.131578947368421,229.0,6.026315789473684,141.0,3.710526315789474,451.0,11.868421052631579,519.0,13.657894736842104,42.0,1.105263157894737,66.0,1.736842105263158,7.0,0.18421052631578946,12.0,0.3157894736842105
12,Arsenal,2005/06,38,20,7,11,67.0,2.9839473684210525,3.9260526315789464,5.325526315789474,4.078508771929823,436.0,11.473684210526315,339.0,8.921052631578947,253.0,6.657894736842105,174.0,4.578947368421052,224.0,5.894736842105263,168.0,4.421052631578948,549.0,14.447368421052632,516.0,13.578947368421053,65.0,1.7105263157894737,66.0,1.736842105263158,2.0,0.05263157894736842,8.0,0.21052631578947367
6,Tottenham,2005/06,38,18,11,9,65.0,2.35578947368421,3.404736842105263,4.162894736842104,3.3078070175438596,452.0,11.894736842105264,341.0,8.973684210526315,263.0,6.921052631578948,189.0,4.973684210526316,250.0,6.578947368421052,178.0,4.684210526315789,480.0,12.631578947368421,490.0,12.894736842105264,48.0,1.263157894736842,65.0,1.7105263157894737,2.0,0.05263157894736842,6.0,0.15789473684210525
25,Blackburn,2005/06,38,19,6,13,63.0,2.248421052631579,3.3857894736842105,4.163947368421052,3.2660526315789475,451.0,11.868421052631579,310.0,8.157894736842104,205.0,5.394736842105263,152.0,4.0,216.0,5.684210526315789,187.0,4.921052631578948,525.0,13.81578947368421,540.0,14.210526315789474,68.0,1.7894736842105263,96.0,2.526315789473684,5.0,0.13157894736842105,5.0,0.13157894736842105
14,Newcastle,2005/06,38,17,7,14,58.0,2.307631578947369,3.3626315789473686,3.8284210526315796,3.166228070175439,488.0,12.842105263157896,316.0,8.31578947368421,261.0,6.868421052631579,157.0,4.131578947368421,228.0,6.0,152.0,4.0,551.0,14.5,551.0,14.5,50.0,1.3157894736842106,72.0,1.894736842105263,4.0,0.10526315789473684,7.0,0.18421052631578946
31,Bolton,2005/06,38,15,11,12,56.0,2.3305263157894736,3.4323684210526317,4.027631578947369,3.263508771929825,485.0,12.763157894736842,293.0,7.7105263157894735,249.0,6.552631578947368,140.0,3.6842105263157894,223.0,5.868421052631579,147.0,3.8684210526315788,489.0,12.868421052631579,531.0,13.973684210526315,43.0,1.131578947368421,85.0,2.236842105263158,1.0,0.02631578947368421,2.0,0.05263157894736842
4,West Ham,2005/06,38,16,7,15,55.0,2.5128947368421053,3.449473684210526,3.8994736842105264,3.2872807017543857,486.0,12.789473684210526,377.0,9.921052631578947,254.0,6.684210526315789,182.0,4.7894736842105265,227.0,5.973684210526316,208.0,5.473684210526316,455.0,11.973684210526315,456.0,12.0,48.0,1.263157894736842,61.0,1.605263157894737,3.0,0.07894736842105263,4.0,0.10526315789473684
27,Wigan,2005/06,38,15,6,17,51.0,2.460526315789474,3.460526315789474,4.166842105263159,3.3626315789473686,468.0,12.31578947368421,381.0,10.026315789473685,240.0,6.315789473684211,192.0,5.052631578947368,220.0,5.7894736842105265,172.0,4.526315789473684,478.0,12.578947368421053,497.0,13.078947368421053,49.0,1.2894736842105263,56.0,1.4736842105263157,3.0,0.07894736842105263,3.0,0.07894736842105263
